BagelVLA (new)
Generated: 2025-10-28 10:26:43
Leaves: 67

PATH                                                                                             SHAPE       DTYPE          #ELEMS         BYTES  SHARDING
modules_vision_encoder/connector/connector_fc2/bias                                             (3584)    bfloat16           3,584       7.00 KB  SingleDeviceSharding
modules_vision_encoder/connector/connector_fc2/kernel                                      (3584,3584)    bfloat16      12,845,056      24.50 MB  SingleDeviceSharding
modules_vision_encoder/connector/post_vit_pos_embed                                        (4900,3584)    bfloat16      17,561,600      33.50 MB  SingleDeviceSharding
modules_vision_encoder/vit/layers/EncoderBlock_0/ln1/bias                                    (26,1152)    bfloat16          29,952      58.50 KB  SingleDeviceSharding
modules_vision_encoder/vit/layers/EncoderBlock_0/ln1/scale                                   (26,1152)    bfloat16          29,952      58.50 KB  SingleDeviceSharding
modules_vision_encoder/vit/layers/EncoderBlock_0/ln2/bias                                    (26,1152)    bfloat16          29,952      58.50 KB  SingleDeviceSharding
modules_vision_encoder/vit/layers/EncoderBlock_0/ln2/scale                                   (26,1152)    bfloat16          29,952      58.50 KB  SingleDeviceSharding
modules_vision_encoder/vit/layers/EncoderBlock_0/mha/k/bias                                  (26,1152)    bfloat16          29,952      58.50 KB  SingleDeviceSharding
modules_vision_encoder/vit/layers/EncoderBlock_0/mha/k/kernel                           (26,1152,1152)    bfloat16      34,504,704      65.81 MB  SingleDeviceSharding
modules_vision_encoder/vit/layers/EncoderBlock_0/mha/out/bias                                (26,1152)    bfloat16          29,952      58.50 KB  SingleDeviceSharding
modules_vision_encoder/vit/layers/EncoderBlock_0/mha/out/kernel                         (26,1152,1152)    bfloat16      34,504,704      65.81 MB  SingleDeviceSharding
modules_vision_encoder/vit/layers/EncoderBlock_0/mha/q/bias                                  (26,1152)    bfloat16          29,952      58.50 KB  SingleDeviceSharding
modules_vision_encoder/vit/layers/EncoderBlock_0/mha/q/kernel                           (26,1152,1152)    bfloat16      34,504,704      65.81 MB  SingleDeviceSharding
modules_vision_encoder/vit/layers/EncoderBlock_0/mha/v/bias                                  (26,1152)    bfloat16          29,952      58.50 KB  SingleDeviceSharding
modules_vision_encoder/vit/layers/EncoderBlock_0/mha/v/kernel                           (26,1152,1152)    bfloat16      34,504,704      65.81 MB  SingleDeviceSharding
modules_vision_encoder/vit/layers/EncoderBlock_0/mlp/fc1/bias                                (26,4304)    bfloat16         111,904     218.56 KB  SingleDeviceSharding
modules_vision_encoder/vit/layers/EncoderBlock_0/mlp/fc1/kernel                         (26,1152,4304)    bfloat16     128,913,408     245.88 MB  SingleDeviceSharding
modules_vision_encoder/vit/layers/EncoderBlock_0/mlp/fc2/bias                                (26,1152)    bfloat16          29,952      58.50 KB  SingleDeviceSharding
modules_vision_encoder/vit/layers/EncoderBlock_0/mlp/fc2/kernel                         (26,4304,1152)    bfloat16     128,913,408     245.88 MB  SingleDeviceSharding
modules_vision_encoder/vit/patch_embed/proj/bias                                                (1152)    bfloat16           1,152       2.25 KB  SingleDeviceSharding
modules_vision_encoder/vit/patch_embed/proj/kernel                                          (588,1152)    bfloat16         677,376       1.29 MB  SingleDeviceSharding
modules_vision_encoder/vit/post_vit_ln/bias                                                     (1152)    bfloat16           1,152       2.25 KB  SingleDeviceSharding
modules_vision_encoder/vit/post_vit_ln/scale                                                    (1152)    bfloat16           1,152       2.25 KB  SingleDeviceSharding
modules_vision_encoder/vit/pre_vit_pos_embed                                               (4900,1152)    bfloat16       5,644,800      10.77 MB  SingleDeviceSharding

Totals (arrays only):
  Parameters: 14,607,088,096
  Memory    : 27.21 GB
  By dtype:
    - bfloat16    elems=14,607,088,096  bytes=27.21 GB
